C-R
f	тву	юву
0	1.0	0.0
1	0.999	0.001
2	0.998	0.003
3	0.998	0.004
4	0.997	0.005
5	0.996	0.006
6	0.995	0.008
7	0.994	0.009
8	0.994	0.01
9	0.993	0.011
10	0.992	0.013
11	0.991	0.014
12	0.99	0.015
13	0.99	0.016
14	0.989	0.018
15	0.988	0.019
16	0.987	0.02
17	0.986	0.021
18	0.986	0.023
19	0.985	0.024
20	0.984	0.025
21	0.983	0.026
22	0.982	0.028
23	0.982	0.029
24	0.981	0.03
25	0.98	0.031
26	0.979	0.033
27	0.978	0.034
28	0.978	0.035
29	0.977	0.036
30	0.976	0.038
31	0.975	0.039
32	0.974	0.04
33	0.974	0.041
34	0.973	0.043
35	0.972	0.044
36	0.971	0.045
37	0.97	0.046
38	0.97	0.048
39	0.969	0.049
40	0.968	0.05
41	0.967	0.051
42	0.966	0.053
43	0.966	0.054
44	0.965	0.055
45	0.964	0.056
46	0.963	0.058
47	0.962	0.059
48	0.962	0.06
49	0.961	0.061
50	0.96	0.063
51	0.959	0.064
52	0.958	0.065
53	0.958	0.066
54	0.957	0.068
55	0.956	0.069
56	0.955	0.07
57	0.954	0.071
58	0.954	0.073
59	0.953	0.074
60	0.952	0.075
61	0.951	0.076
62	0.95	0.078
63	0.95	0.079
64	0.949	0.08
65	0.948	0.081
66	0.947	0.083
67	0.947	0.084
68	0.946	0.085
69	0.945	0.086
70	0.944	0.088
71	0.943	0.089
72	0.943	0.09
73	0.942	0.091
74	0.941	0.093
75	0.94	0.094
76	0.939	0.095
77	0.939	0.096
78	0.938	0.098
79	0.937	0.099
80	0.936	0.1
81	0.935	0.101
82	0.935	0.103
83	0.934	0.104
84	0.933	0.105
85	0.932	0.106
86	0.931	0.107
87	0.931	0.109
88	0.93	0.11
89	0.929	0.111
90	0.928	0.112
91	0.928	0.114
92	0.927	0.115
93	0.926	0.116
94	0.925	0.117
95	0.924	0.119
96	0.924	0.12
97	0.923	0.121
98	0.922	0.122
99	0.921	0.123
100	0.92	0.125
101	0.92	0.126
102	0.919	0.127
103	0.918	0.128
104	0.917	0.13
105	0.916	0.131
106	0.916	0.132
107	0.915	0.133
108	0.914	0.134
109	0.913	0.136
