L-R
f	тву	юву
0	1.0	1.0
1	0.96	1.0
2	0.92	1.0
3	0.881	1.0
4	0.843	1.0
5	0.806	1.0
6	0.77	0.999
7	0.736	0.999
8	0.703	0.999
9	0.672	0.998
10	0.643	0.998
11	0.615	0.998
12	0.589	0.997
13	0.564	0.997
14	0.541	0.996
15	0.519	0.996
16	0.498	0.995
17	0.479	0.994
18	0.461	0.994
19	0.444	0.993
20	0.428	0.992
21	0.413	0.991
22	0.399	0.991
23	0.385	0.99
24	0.373	0.989
25	0.361	0.988
26	0.35	0.987
27	0.339	0.986
28	0.329	0.985
29	0.32	0.984
30	0.311	0.983
31	0.302	0.982
32	0.294	0.98
33	0.286	0.979
34	0.279	0.978
35	0.272	0.977
36	0.265	0.975
37	0.259	0.974
38	0.253	0.973
39	0.247	0.971
40	0.241	0.97
41	0.236	0.968
42	0.231	0.967
43	0.226	0.965
44	0.221	0.964
45	0.216	0.962
46	0.212	0.961
47	0.208	0.959
48	0.204	0.957
49	0.2	0.956
50	0.196	0.954
51	0.193	0.952
52	0.189	0.951
53	0.186	0.949
54	0.182	0.947
55	0.179	0.945
56	0.176	0.943
57	0.173	0.941
58	0.17	0.94
59	0.168	0.938
60	0.165	0.936
61	0.162	0.934
62	0.16	0.932
63	0.158	0.93
64	0.155	0.928
65	0.153	0.926
66	0.151	0.924
67	0.148	0.922
68	0.146	0.92
69	0.144	0.917
70	0.142	0.915
71	0.14	0.913
72	0.138	0.911
73	0.137	0.909
74	0.135	0.907
75	0.133	0.905
76	0.131	0.902
77	0.13	0.9
78	0.128	0.898
79	0.127	0.896
80	0.125	0.893
81	0.124	0.891
82	0.122	0.889
83	0.121	0.887
84	0.119	0.884
85	0.118	0.882
86	0.116	0.88
87	0.115	0.877
88	0.114	0.875
89	0.113	0.873
90	0.111	0.87
91	0.11	0.868
92	0.109	0.866
93	0.108	0.863
94	0.107	0.861
95	0.106	0.859
96	0.105	0.856
97	0.104	0.854
98	0.102	0.852
99	0.101	0.849
100	0.1	0.847
101	0.099	0.844
102	0.099	0.842
103	0.098	0.84
104	0.097	0.837
105	0.096	0.835
106	0.095	0.832
107	0.094	0.83
108	0.093	0.827
109	0.092	0.825
110	0.091	0.823
111	0.091	0.82
112	0.09	0.818
113	0.089	0.815
114	0.088	0.813
115	0.088	0.811
116	0.087	0.808
117	0.086	0.806
118	0.085	0.803
119	0.085	0.801
120	0.084	0.798
121	0.083	0.796
122	0.083	0.794
123	0.082	0.791
124	0.081	0.789
125	0.081	0.786
126	0.08	0.784
127	0.079	0.782
128	0.079	0.779
129	0.078	0.777
130	0.078	0.774
131	0.077	0.772
132	0.076	0.77
133	0.076	0.767
134	0.075	0.765
135	0.075	0.763
136	0.074	0.76
137	0.074	0.758
138	0.073	0.756
139	0.073	0.753
140	0.072	0.751
141	0.072	0.749
142	0.071	0.746
143	0.071	0.744
144	0.07	0.742
145	0.07	0.739
146	0.069	0.737
147	0.069	0.735
148	0.068	0.732
149	0.068	0.73
150	0.067	0.728
151	0.067	0.725
152	0.066	0.723
153	0.066	0.721
154	0.066	0.719
155	0.065	0.716
156	0.065	0.714
157	0.064	0.712
158	0.064	0.71
159	0.064	0.707
160	0.063	0.705
161	0.063	0.703
162	0.062	0.701
163	0.062	0.699
164	0.062	0.696
165	0.061	0.694
166	0.061	0.692
167	0.06	0.69
168	0.06	0.688
169	0.06	0.686
170	0.059	0.683
171	0.059	0.681
172	0.059	0.679
173	0.058	0.677
174	0.058	0.675
175	0.058	0.673
176	0.057	0.671
177	0.057	0.669
178	0.057	0.667
179	0.056	0.664
180	0.056	0.662
181	0.056	0.66
182	0.056	0.658
183	0.055	0.656
184	0.055	0.654
185	0.055	0.652
186	0.054	0.65
187	0.054	0.648
188	0.054	0.646
189	0.053	0.644
190	0.053	0.642
191	0.053	0.64
192	0.053	0.638
193	0.052	0.636
194	0.052	0.634
195	0.052	0.632
196	0.052	0.63
197	0.051	0.628
198	0.051	0.627
199	0.051	0.625
200	0.051	0.623
201	0.05	0.621
202	0.05	0.619
203	0.05	0.617
204	0.05	0.615
205	0.049	0.613
206	0.049	0.611
207	0.049	0.61
208	0.049	0.608
209	0.048	0.606
210	0.048	0.604
211	0.048	0.602
212	0.048	0.6
213	0.047	0.599
214	0.047	0.597
215	0.047	0.595
216	0.047	0.593
217	0.047	0.591
218	0.046	0.59
219	0.046	0.588
220	0.046	0.586
221	0.046	0.584
222	0.046	0.583
223	0.045	0.581
224	0.045	0.579
225	0.045	0.577
226	0.045	0.576
227	0.045	0.574
228	0.044	0.572
229	0.044	0.571
230	0.044	0.569
231	0.044	0.567
232	0.044	0.566
233	0.043	0.564
234	0.043	0.562
235	0.043	0.561
236	0.043	0.559
237	0.043	0.557
238	0.043	0.556
239	0.042	0.554
240	0.042	0.553
241	0.042	0.551
242	0.042	0.549
243	0.042	0.548
244	0.041	0.546
245	0.041	0.545
246	0.041	0.543
247	0.041	0.542
248	0.041	0.54
249	0.041	0.539
250	0.04	0.537
251	0.04	0.536
252	0.04	0.534
253	0.04	0.532
254	0.04	0.531
255	0.04	0.529
256	0.04	0.528
257	0.039	0.526
258	0.039	0.525
259	0.039	0.524
260	0.039	0.522
261	0.039	0.521
262	0.039	0.519
263	0.038	0.518
264	0.038	0.516
265	0.038	0.515
266	0.038	0.513
267	0.038	0.512
268	0.038	0.511
269	0.038	0.509
270	0.037	0.508
271	0.037	0.506
272	0.037	0.505
273	0.037	0.504
274	0.037	0.502
275	0.037	0.501
276	0.037	0.5
277	0.037	0.498
278	0.036	0.497
279	0.036	0.495
280	0.036	0.494
281	0.036	0.493
282	0.036	0.492
283	0.036	0.49
284	0.036	0.489
285	0.036	0.488
286	0.035	0.486
287	0.035	0.485
288	0.035	0.484
289	0.035	0.482
290	0.035	0.481
291	0.035	0.48
292	0.035	0.479
293	0.035	0.477
294	0.034	0.476
295	0.034	0.475
296	0.034	0.474
297	0.034	0.472
298	0.034	0.471
299	0.034	0.47
300	0.034	0.469
301	0.034	0.467
302	0.034	0.466
303	0.033	0.465
304	0.033	0.464
305	0.033	0.463
306	0.033	0.461
307	0.033	0.46
308	0.033	0.459
309	0.033	0.458
310	0.033	0.457
311	0.033	0.456
312	0.032	0.454
313	0.032	0.453
314	0.032	0.452
315	0.032	0.451
316	0.032	0.45
317	0.032	0.449
318	0.032	0.448
319	0.032	0.446
320	0.032	0.445
321	0.032	0.444
322	0.031	0.443
323	0.031	0.442
324	0.031	0.441
325	0.031	0.44
326	0.031	0.439
327	0.031	0.438
328	0.031	0.437
329	0.031	0.435
330	0.031	0.434
331	0.031	0.433
332	0.03	0.432
333	0.03	0.431
334	0.03	0.43
335	0.03	0.429
336	0.03	0.428
337	0.03	0.427
338	0.03	0.426
339	0.03	0.425
340	0.03	0.424
341	0.03	0.423
342	0.03	0.422
343	0.03	0.421
344	0.029	0.42
345	0.029	0.419
346	0.029	0.418
347	0.029	0.417
348	0.029	0.416
349	0.029	0.415
350	0.029	0.414
351	0.029	0.413
352	0.029	0.412
353	0.029	0.411
354	0.029	0.41
355	0.029	0.409
356	0.028	0.408
357	0.028	0.407
358	0.028	0.406
359	0.028	0.405
360	0.028	0.404
361	0.028	0.403
362	0.028	0.402
363	0.028	0.402
364	0.028	0.401
365	0.028	0.4
366	0.028	0.399
367	0.028	0.398
368	0.028	0.397
369	0.027	0.396
370	0.027	0.395
371	0.027	0.394
372	0.027	0.393
373	0.027	0.392
374	0.027	0.392
375	0.027	0.391
376	0.027	0.39
377	0.027	0.389
378	0.027	0.388
379	0.027	0.387
380	0.027	0.386
381	0.027	0.385
382	0.027	0.385
383	0.026	0.384
384	0.026	0.383
385	0.026	0.382
386	0.026	0.381
387	0.026	0.38
388	0.026	0.38
389	0.026	0.379
390	0.026	0.378
391	0.026	0.377
392	0.026	0.376
393	0.026	0.375
394	0.026	0.375
395	0.026	0.374
396	0.026	0.373
397	0.026	0.372
398	0.025	0.371
399	0.025	0.37
400	0.025	0.37
401	0.025	0.369
402	0.025	0.368
403	0.025	0.367
404	0.025	0.367
405	0.025	0.366
406	0.025	0.365
407	0.025	0.364
408	0.025	0.363
409	0.025	0.363
410	0.025	0.362
411	0.025	0.361
412	0.025	0.36
413	0.025	0.36
414	0.024	0.359
415	0.024	0.358
416	0.024	0.357
417	0.024	0.357
418	0.024	0.356
419	0.024	0.355
420	0.024	0.354
421	0.024	0.354
422	0.024	0.353
423	0.024	0.352
424	0.024	0.351
425	0.024	0.351
426	0.024	0.35
427	0.024	0.349
428	0.024	0.349
429	0.024	0.348
430	0.024	0.347
431	0.023	0.346
432	0.023	0.346
433	0.023	0.345
434	0.023	0.344
435	0.023	0.344
436	0.023	0.343
437	0.023	0.342
438	0.023	0.342
439	0.023	0.341
440	0.023	0.34
441	0.023	0.339
442	0.023	0.339
443	0.023	0.338
444	0.023	0.337
445	0.023	0.337
446	0.023	0.336
447	0.023	0.335
448	0.023	0.335
449	0.023	0.334
450	0.023	0.333
451	0.022	0.333
452	0.022	0.332
453	0.022	0.331
454	0.022	0.331
455	0.022	0.33
456	0.022	0.33
457	0.022	0.329
458	0.022	0.328
459	0.022	0.328
460	0.022	0.327
461	0.022	0.326
462	0.022	0.326
463	0.022	0.325
464	0.022	0.324
465	0.022	0.324
466	0.022	0.323
467	0.022	0.323
468	0.022	0.322
469	0.022	0.321
470	0.022	0.321
471	0.022	0.32
472	0.021	0.32
473	0.021	0.319
474	0.021	0.318
475	0.021	0.318
476	0.021	0.317
477	0.021	0.317
478	0.021	0.316
479	0.021	0.315
480	0.021	0.315
481	0.021	0.314
482	0.021	0.314
483	0.021	0.313
484	0.021	0.312
485	0.021	0.312
486	0.021	0.311
487	0.021	0.311
488	0.021	0.31
489	0.021	0.309
490	0.021	0.309
491	0.021	0.308
492	0.021	0.308
493	0.021	0.307
