R-C
f	тву	юву
0	1.0	1.0
1	0.999	1.0
2	0.998	1.0
3	0.998	1.0
4	0.997	1.0
5	0.996	1.0
6	0.995	1.0
7	0.994	1.0
8	0.994	1.0
9	0.993	1.0
10	0.992	1.0
11	0.991	1.0
12	0.99	1.0
13	0.99	1.0
14	0.989	1.0
15	0.988	1.0
16	0.987	1.0
17	0.986	1.0
18	0.986	1.0
19	0.985	1.0
20	0.984	1.0
21	0.983	1.0
22	0.982	1.0
23	0.982	1.0
24	0.981	1.0
25	0.98	1.0
26	0.979	0.999
27	0.978	0.999
28	0.978	0.999
29	0.977	0.999
30	0.976	0.999
31	0.975	0.999
32	0.974	0.999
33	0.974	0.999
34	0.973	0.999
35	0.972	0.999
36	0.971	0.999
37	0.97	0.999
38	0.97	0.999
39	0.969	0.999
40	0.968	0.999
41	0.967	0.999
42	0.966	0.999
43	0.966	0.999
44	0.965	0.998
45	0.964	0.998
46	0.963	0.998
47	0.962	0.998
48	0.962	0.998
49	0.961	0.998
50	0.96	0.998
51	0.959	0.998
52	0.958	0.998
53	0.958	0.998
54	0.957	0.998
55	0.956	0.998
56	0.955	0.998
57	0.954	0.997
58	0.954	0.997
59	0.953	0.997
60	0.952	0.997
61	0.951	0.997
62	0.95	0.997
63	0.95	0.997
64	0.949	0.997
65	0.948	0.997
66	0.947	0.997
67	0.947	0.996
68	0.946	0.996
69	0.945	0.996
70	0.944	0.996
71	0.943	0.996
72	0.943	0.996
73	0.942	0.996
74	0.941	0.996
75	0.94	0.996
76	0.939	0.995
77	0.939	0.995
78	0.938	0.995
79	0.937	0.995
80	0.936	0.995
81	0.935	0.995
82	0.935	0.995
83	0.934	0.995
84	0.933	0.994
85	0.932	0.994
86	0.931	0.994
87	0.931	0.994
88	0.93	0.994
89	0.929	0.994
90	0.928	0.994
91	0.928	0.994
92	0.927	0.993
93	0.926	0.993
94	0.925	0.993
95	0.924	0.993
96	0.924	0.993
97	0.923	0.993
98	0.922	0.993
99	0.921	0.992
100	0.92	0.992
101	0.92	0.992
102	0.919	0.992
103	0.918	0.992
104	0.917	0.992
105	0.916	0.991
106	0.916	0.991
107	0.915	0.991
108	0.914	0.991
109	0.913	0.991
110	0.913	0.991
111	0.912	0.99
112	0.911	0.99
113	0.91	0.99
114	0.909	0.99
115	0.909	0.99
116	0.908	0.99
117	0.907	0.989
118	0.906	0.989
119	0.906	0.989
120	0.905	0.989
121	0.904	0.989
122	0.903	0.988
123	0.902	0.988
