R-L
f	тву	юву
0	1.0	0.0
1	0.996	0.006
2	0.992	0.013
3	0.988	0.019
4	0.984	0.025
5	0.98	0.031
6	0.976	0.038
7	0.972	0.044
8	0.968	0.05
9	0.964	0.056
10	0.96	0.063
11	0.956	0.069
12	0.952	0.075
13	0.948	0.081
14	0.944	0.088
15	0.94	0.094
16	0.936	0.1
17	0.932	0.106
18	0.928	0.112
19	0.924	0.119
20	0.92	0.125
21	0.916	0.131
22	0.913	0.137
23	0.909	0.143
24	0.905	0.149
25	0.901	0.155
26	0.897	0.161
27	0.893	0.167
28	0.889	0.173
29	0.885	0.179
30	0.881	0.185
31	0.878	0.191
32	0.874	0.197
33	0.87	0.203
34	0.866	0.209
35	0.862	0.215
36	0.858	0.221
37	0.855	0.226
38	0.851	0.232
39	0.847	0.238
40	0.843	0.244
41	0.839	0.249
42	0.836	0.255
43	0.832	0.261
44	0.828	0.266
45	0.825	0.272
46	0.821	0.278
47	0.817	0.283
48	0.814	0.289
49	0.81	0.294
50	0.806	0.3
51	0.803	0.305
52	0.799	0.311
53	0.795	0.316
54	0.792	0.321
55	0.788	0.327
56	0.785	0.332
57	0.781	0.337
58	0.778	0.342
59	0.774	0.348
60	0.77	0.353
61	0.767	0.358
62	0.764	0.363
63	0.76	0.368
64	0.757	0.373
65	0.753	0.378
66	0.75	0.383
67	0.746	0.388
68	0.743	0.393
69	0.74	0.398
70	0.736	0.403
71	0.733	0.407
72	0.73	0.412
73	0.726	0.417
74	0.723	0.422
75	0.72	0.426
76	0.716	0.431
77	0.713	0.436
78	0.71	0.44
79	0.707	0.445
80	0.703	0.449
81	0.7	0.454
82	0.697	0.458
83	0.694	0.462
84	0.691	0.467
85	0.688	0.471
86	0.685	0.475
87	0.682	0.48
88	0.678	0.484
89	0.675	0.488
90	0.672	0.492
91	0.669	0.496
92	0.666	0.5
93	0.663	0.505
94	0.66	0.509
95	0.657	0.513
96	0.654	0.517
97	0.652	0.52
98	0.649	0.524
99	0.646	0.528
100	0.643	0.532
101	0.64	0.536
102	0.637	0.54
103	0.634	0.543
104	0.632	0.547
105	0.629	0.551
106	0.626	0.554
107	0.623	0.558
108	0.62	0.562
109	0.618	0.565
110	0.615	0.569
111	0.612	0.572
112	0.61	0.576
113	0.607	0.579
114	0.604	0.582
115	0.602	0.586
116	0.599	0.589
117	0.596	0.592
118	0.594	0.596
119	0.591	0.599
120	0.589	0.602
121	0.586	0.605
122	0.584	0.608
123	0.581	0.611
124	0.579	0.615
125	0.576	0.618
126	0.574	0.621
127	0.571	0.624
128	0.569	0.627
129	0.566	0.63
130	0.564	0.633
131	0.562	0.636
132	0.559	0.638
133	0.557	0.641
134	0.554	0.644
135	0.552	0.647
136	0.55	0.65
137	0.548	0.652
138	0.545	0.655
139	0.543	0.658
140	0.541	0.66
141	0.538	0.663
142	0.536	0.666
143	0.534	0.668
144	0.532	0.671
145	0.53	0.673
146	0.527	0.676
147	0.525	0.678
148	0.523	0.681
149	0.521	0.683
150	0.519	0.686
151	0.517	0.688
152	0.515	0.691
153	0.513	0.693
154	0.51	0.695
155	0.508	0.698
156	0.506	0.7
157	0.504	0.702
158	0.502	0.705
159	0.5	0.707
160	0.498	0.709
161	0.496	0.711
162	0.494	0.713
163	0.492	0.715
164	0.49	0.718
165	0.489	0.72
166	0.487	0.722
167	0.485	0.724
168	0.483	0.726
169	0.481	0.728
170	0.479	0.73
171	0.477	0.732
172	0.475	0.734
173	0.473	0.736
174	0.472	0.738
175	0.47	0.74
176	0.468	0.742
177	0.466	0.744
178	0.464	0.745
179	0.463	0.747
180	0.461	0.749
181	0.459	0.751
182	0.457	0.753
183	0.456	0.755
184	0.454	0.756
185	0.452	0.758
186	0.451	0.76
187	0.449	0.762
188	0.447	0.763
189	0.446	0.765
190	0.444	0.767
191	0.442	0.768
192	0.441	0.77
193	0.439	0.772
194	0.437	0.773
195	0.436	0.775
196	0.434	0.776
197	0.433	0.778
198	0.431	0.779
199	0.429	0.781
200	0.428	0.782
